cpt_code,description,NON_FACILITY_PRICE,FACILITY_PRICE
0001A,Adm sarscov2 30mcg/0.3ml 1st,0.0,299.52
0001F,Heart failure composite,0.0,299.52
0002A,Adm sarscov2 30mcg/0.3ml 2nd,0.0,299.52
0003A,Adm sarscov2 30mcg/0.3ml 3rd,0.0,299.52
0004A,Adm sarscov2 30mcg/0.3ml bst,0.0,299.52
0005F,Osteoarthritis composite,0.0,299.52
00100,Anesth salivary gland,0.0,299.52
00102,Anesth repair of cleft lip,0.0,299.52
00103,Anesth blepharoplasty,0.0,299.52
00104,Anesth electroshock,0.0,299.52
0011A,Adm sarscov2 100mcg/0.5ml1st,0.0,299.52
00120,Anesth ear surgery,0.0,299.52
00124,Anesth ear exam,0.0,299.52
00126,Anesth tympanotomy,0.0,299.52
0012A,Adm sarscov2 100mcg/0.5ml2nd,0.0,299.52
0012F,Cap bacterial assess,0.0,299.52
0013A,Adm sarscov2 100mcg/0.5ml3rd,0.0,299.52
00140,Anesth procedures on eye,0.0,299.52
00142,Anesth lens surgery,0.0,299.52
00144,Anesth corneal transplant,0.0,299.52
00145,Anesth vitreoretinal surg,0.0,299.52
00147,Anesth iridectomy,0.0,299.52
00148,Anesth eye exam,0.0,299.52
0014F,Comp preop assess cat surg,0.0,299.52
0015F,Melan follow-up complete,0.0,299.52
00160,Anesth nose/sinus surgery,0.0,299.52
00162,Anesth nose/sinus surgery,0.0,299.52
00164,Anesth biopsy of nose,0.0,299.52
00170,Anesth procedure on mouth,0.0,299.52
00172,Anesth cleft palate repair,0.0,299.52
00174,Anesth pharyngeal surgery,0.0,299.52
00176,Anesth pharyngeal surgery,0.0,299.52
00190,Anesth face/skull bone surg,0.0,299.52
00192,Anesth facial bone surgery,0.0,299.52
00210,Anesth cranial surg nos,0.0,299.52
00211,Anesth cran surg hemotoma,0.0,299.52
00212,Anesth skull drainage,0.0,299.52
00214,Anesth skull drainage,0.0,299.52
00215,Anesth skull repair/fract,0.0,299.52
00216,Anesth head vessel surgery,0.0,299.52
00218,Anesth special head surgery,0.0,299.52
00220,Anesth intrcrn nerve,0.0,299.52
00222,Anesth head nerve surgery,0.0,299.52
00300,Anesth head/neck/ptrunk,0.0,299.52
0031A,Adm sarscov2 vac ad26 .5ml,0.0,299.52
00320,Anesth neck organ 1yr/>,0.0,299.52
00322,Anesth biopsy of thyroid,0.0,299.52
00326,Anesth larynx/trach < 1 yr,0.0,299.52
0034A,Adm sarscov2 vac ad26 .5ml b,0.0,299.52
00350,Anesth neck vessel surgery,0.0,299.52
00352,Anesth neck vessel surgery,0.0,299.52
00400,Anesth skin ext/per/atrunk,0.0,299.52
00402,Anesth surgery of breast,0.0,299.52
00404,Anesth surgery of breast,0.0,299.52
00406,Anesth surgery of breast,0.0,299.52
00410,Anesth correct heart rhythm,0.0,299.52
0041A,Adm sarscov2 5mcg/0.5ml 1st,0.0,299.52
0042A,Adm sarscov2 5mcg/0.5ml 2nd,0.0,299.52
0042T,Ct perfusion w/contrast cbf,0.0,0.0
0044A,Adm sarscov2 5mcg/0.5ml bst,0.0,299.52
00450,Anesth surgery of shoulder,0.0,299.52
00454,Anesth collar bone biopsy,0.0,299.52
00470,Anesth removal of rib,0.0,299.52
00472,Anesth chest wall repair,0.0,299.52
00474,Anesth surgery of rib,0.0,299.52
00500,Anesth esophageal surgery,0.0,299.52
0051A,Adm sarscv2 30mcg trs-sucr 1,0.0,299.52
00520,Anesth chest procedure,0.0,299.52
00522,Anesth chest lining biopsy,0.0,299.52
00524,Anesth chest drainage,0.0,299.52
00528,Anes mediascpy & dx thorscpy,0.0,299.52
00529,Anes medscpy&thorscpy 1 lung,0.0,299.52
0052A,Adm sarscv2 30mcg trs-sucr 2,0.0,299.52
00530,Anesth pacemaker insertion,0.0,299.52
00532,Anesth vascular access,0.0,299.52
00534,Anesth cardioverter/defib,0.0,299.52
00537,Anesth cardiac electrophys,0.0,299.52
00539,Anesth trach-bronch reconst,0.0,299.52
0053A,Adm sarscv2 30mcg trs-sucr 3,0.0,299.52
00540,Anesth chest surgery,0.0,299.52
00541,Anesth one lung ventilation,0.0,299.52
00542,Anesthesia removal pleura,0.0,299.52
00546,Anesth lung chest wall surg,0.0,299.52
00548,Anesth trachea bronchi surg,0.0,299.52
0054A,Adm sarscv2 30mcg trs-sucr b,0.0,299.52
0054T,Bone srgry cmptr fluor image,0.0,0.0
00550,Anesth sternal debridement,0.0,299.52
0055T,Bone srgry cmptr ct/mri imag,0.0,0.0
00560,Anesth heart surg w/o pump,0.0,299.52
00561,Anesth heart surg <1 yr,0.0,299.52
00562,Anesth hrt surg w/pmp age 1+,0.0,299.52
00563,Anesth heart surg w/arrest,0.0,299.52
00566,Anesth cabg w/o pump,0.0,299.52
00567,Anesth cabg w/pump,0.0,299.52
00580,Anesth heart/lung transplnt,0.0,299.52
0058T,Cryopreservation ovary tiss,0.0,0.0
00600,Anesth spine cord surgery,0.0,299.52
00604,Anesth sitting procedure,0.0,299.52
00620,Anesth spine cord surgery,0.0,299.52
00625,Anes spine tranthor w/o vent,0.0,299.52
00626,Anes spine transthor w/vent,0.0,299.52
00630,Anesth spine cord surgery,0.0,299.52
