CPT_CODE,DESCRIPTION,NON_FACILITY_PRICE,FACILITY_PRICE
0054T,Bone srgry cmptr fluor image,0.0,0.0
0055T,Bone srgry cmptr ct/mri imag,0.0,0.0
0071T,Us leiomyomata ablate <200,0.0,0.0
0072T,Fcsd us abltj leiomyom>=200,0.0,0.0
0075T,Perq stent/chest vert art,0.0,33.28
0076T,S&i stent/chest vert art,0.0,33.28
0095T,Rmvl artific disc addl crvcl,0.0,0.0
0098T,Rev artific disc addl,0.0,0.0
0100T,Prosth retina receive&gen,0.0,0.0
0101T,Esw muscskel sys nos,0.0,0.0
0102T,Esw phy anes lat hmrl epcndl,0.0,0.0
0106T,Touch quant sensory test,0.0,0.0
0107T,Vibrate quant sensory test,0.0,0.0
0108T,Cool quant sensory test,0.0,0.0
0109T,Heat quant sensory test,0.0,0.0
0110T,Nos quant sensory test,0.0,0.0
0164T,Remove lumb artif disc addl,0.0,0.0
0165T,Revise lumb artif disc addl,0.0,0.0
0174T,Cad cxr with interp,0.0,0.0
0175T,Cad cxr remote,0.0,0.0
0184T,Exc rectal tumor endoscopic,0.0,0.0
0198T,Ocular blood flow measure,0.0,0.0
0200T,Perq sacral augmt unilat inj,0.0,0.0
0201T,Perq sacral augmt bilat inj,0.0,0.0
0202T,Post vert arthrplst 1 lumbar,0.0,0.0
0207T,Clear eyelid gland w/heat,0.0,0.0
0208T,Audiometry air only,0.0,99.84
0209T,Audiometry air & bone,0.0,99.84
0210T,Speech audiometry threshold,0.0,99.84
0211T,Speech audiom thresh & recog,0.0,99.84
0212T,Compre audiometry evaluation,0.0,99.84
0213T,Njx paravert w/us cer/thor,0.0,0.0
0214T,Njx paravert w/us cer/thor,0.0,0.0
0215T,Njx paravert w/us cer/thor,0.0,0.0
0216T,Njx paravert w/us lumb/sac,0.0,0.0
0217T,Njx paravert w/us lumb/sac,0.0,0.0
0218T,Njx paravert w/us lumb/sac,0.0,0.0
0219T,Plmt post facet implt cerv,0.0,0.0
0220T,Plmt post facet implt thor,0.0,0.0
0221T,Plmt post facet implt lumb,0.0,0.0
0222T,Plmt post facet implt addl,0.0,0.0
0232T,Njx platelet plasma,0.0,0.0
0234T,Trluml perip athrc renal art,0.0,0.0
0235T,Trluml perip athrc visceral,0.0,0.0
0236T,Trluml perip athrc abd aorta,0.0,0.0
0237T,Trluml perip athrc brchiocph,0.0,0.0
0238T,Trluml perip athrc iliac art,0.0,0.0
0253T,Insert aqueous drain device,0.0,0.0
0263T,Im b1 mrw cel ther cmpl,0.0,0.0
0264T,Im b1 mrw cel ther xcl hrvst,0.0,0.0
0265T,Im b1 mrw cel ther hrvst onl,0.0,0.0
0274T,Prq lamot/lam dcmpr crv/thrc,0.0,0.0
0278T,Tempr,0.0,0.0
0308T,Insj ocular telescope prosth,0.0,0.0
0329T,Mntr io press 24hrs/> uni/bi,0.0,299.52
0330T,Tear film img uni/bi w/i&r,0.0,299.52
0331T,Heart symp image plnr,0.0,299.52
0332T,Heart symp image plnr spect,0.0,299.52
0333T,Visual ep scr acuity auto,0.0,299.52
0335T,Insj sinus tarsi implant,0.0,299.52
0338T,Trnscth renal symp denrv unl,0.0,299.52
0339T,Trnscth renal symp denrv bil,0.0,299.52
0342T,Thxp apheresis w/hdl delip,0.0,299.52
0345T,Transcath mtral vlve repair,0.0,299.52
0347T,Ins bone device for rsa,0.0,299.52
0348T,Rsa spine exam,0.0,299.52
0349T,Rsa upper extr exam,0.0,299.52
0350T,Rsa lower extr exam,0.0,299.52
0351T,Intraop oct brst/node spec,0.0,299.52
0352T,Oct brst/node i&r per spec,0.0,299.52
0353T,Intraop oct breast cavity,0.0,299.52
